epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,256.138,1.18528,0.85077,1.1134,0.79601,0.62673,0.71411,0.43474,1.34523,0.95649,1.24442,0.00146144,0.00146144,0.00146144
70,259.714,1.20181,0.84215,1.10607,0.75198,0.64242,0.71169,0.41207,1.41229,1.01456,1.23966,0.00145352,0.00145352,0.00145352
71,263.356,1.2299,0.87898,1.12372,0.77459,0.65604,0.72164,0.43216,1.37969,0.99598,1.25184,0.0014456,0.0014456,0.0014456
72,266.877,1.21867,0.85144,1.12809,0.7287,0.65455,0.70562,0.4045,1.44116,1.0363,1.32176,0.00143768,0.00143768,0.00143768
73,270.349,1.19734,0.82672,1.10476,0.813,0.60601,0.70162,0.40858,1.40145,1.06205,1.24692,0.00142976,0.00142976,0.00142976
74,273.952,1.16812,0.82853,1.09011,0.77865,0.6,0.70282,0.41717,1.38458,1.05453,1.25167,0.00142184,0.00142184,0.00142184
75,277.488,1.18497,0.84508,1.09547,0.77445,0.6139,0.71075,0.40703,1.43061,0.99462,1.27236,0.00141392,0.00141392,0.00141392
76,281.162,1.17429,0.83598,1.10594,0.78342,0.59192,0.6991,0.40031,1.45015,1.01285,1.29027,0.001406,0.001406,0.001406
77,284.729,1.15299,0.81661,1.09344,0.74032,0.61337,0.69218,0.40424,1.45444,1.01815,1.28463,0.00139808,0.00139808,0.00139808
78,288.356,1.1734,0.82186,1.0866,0.76169,0.57273,0.66853,0.37953,1.46658,1.10287,1.28642,0.00139016,0.00139016,0.00139016
79,291.932,1.19489,0.82426,1.08876,0.67465,0.66667,0.69261,0.40634,1.40454,1.23257,1.28139,0.00138224,0.00138224,0.00138224
80,295.544,1.18576,0.82441,1.08958,0.77355,0.65216,0.72112,0.4211,1.38781,0.96026,1.26559,0.00137432,0.00137432,0.00137432
81,299.06,1.18189,0.82948,1.09572,0.76414,0.65758,0.72349,0.41673,1.4177,0.98296,1.26886,0.0013664,0.0013664,0.0013664
82,302.659,1.17488,0.80878,1.11126,0.79121,0.65454,0.74417,0.44801,1.365,0.92563,1.23361,0.00135848,0.00135848,0.00135848
83,306.305,1.15559,0.80107,1.09604,0.77261,0.64545,0.71095,0.40471,1.42661,1.0233,1.26505,0.00135056,0.00135056,0.00135056
84,309.927,1.15696,0.78989,1.09129,0.75727,0.61818,0.71368,0.42141,1.41381,1.00702,1.26546,0.00134264,0.00134264,0.00134264
85,313.638,1.15624,0.80149,1.08083,0.78874,0.6,0.70641,0.40621,1.43089,1.08211,1.30227,0.00133472,0.00133472,0.00133472
86,317.219,1.16572,0.78783,1.08976,0.85757,0.6,0.73812,0.43635,1.36727,0.94791,1.23041,0.0013268,0.0013268,0.0013268
87,320.808,1.1624,0.81117,1.08091,0.76724,0.63927,0.71219,0.4292,1.33114,1.04523,1.22817,0.00131888,0.00131888,0.00131888
88,324.406,1.18287,0.8176,1.09538,0.73721,0.67576,0.73107,0.43388,1.37186,1.01289,1.24261,0.00131096,0.00131096,0.00131096
89,327.98,1.10827,0.77872,1.07485,0.76259,0.6,0.69522,0.3951,1.42372,1.02545,1.28756,0.00130304,0.00130304,0.00130304
90,331.585,1.11181,0.76275,1.0754,0.83468,0.62121,0.75024,0.43065,1.44436,0.9428,1.30529,0.00129512,0.00129512,0.00129512
91,335.209,1.16642,0.82597,1.09264,0.77344,0.64139,0.70975,0.41361,1.43067,0.97322,1.299,0.0012872,0.0012872,0.0012872
92,338.744,1.10492,0.76679,1.07088,0.79942,0.6,0.70632,0.39369,1.45497,1.01162,1.3007,0.00127928,0.00127928,0.00127928
93,342.364,1.17008,0.81058,1.09091,0.76898,0.61528,0.68143,0.39129,1.49349,1.03633,1.33626,0.00127136,0.00127136,0.00127136
94,346.075,1.13248,0.79301,1.08486,0.77002,0.63921,0.70417,0.4196,1.40251,1.02694,1.25895,0.00126344,0.00126344,0.00126344
95,349.657,1.16522,0.80468,1.09118,0.80455,0.61124,0.70915,0.4107,1.39816,1.03956,1.23571,0.00125552,0.00125552,0.00125552
96,353.34,1.12231,0.76567,1.07578,0.75528,0.68485,0.71632,0.42893,1.37958,0.97621,1.23854,0.0012476,0.0012476,0.0012476
97,356.893,1.13748,0.77933,1.09206,0.81039,0.59579,0.70583,0.40004,1.46529,0.97059,1.32572,0.00123968,0.00123968,0.00123968
98,360.453,1.13245,0.77251,1.06262,0.81011,0.59468,0.6974,0.39609,1.50276,0.99856,1.34956,0.00123176,0.00123176,0.00123176
99,364.006,1.13737,0.79506,1.08158,0.76547,0.60332,0.70827,0.42413,1.3777,0.99116,1.25378,0.00122384,0.00122384,0.00122384
100,367.595,1.11187,0.7867,1.09065,0.79601,0.62121,0.73071,0.43599,1.38604,0.93396,1.28002,0.00121592,0.00121592,0.00121592
101,371.179,1.10877,0.75429,1.05609,0.76518,0.63333,0.72002,0.42303,1.44855,1.00867,1.27918,0.001208,0.001208,0.001208
102,374.833,1.08009,0.76885,1.06141,0.71762,0.65459,0.72316,0.41138,1.44026,0.98287,1.27101,0.00120008,0.00120008,0.00120008
103,378.497,1.13647,0.76439,1.06237,0.81069,0.64242,0.73443,0.43001,1.36656,0.95045,1.26437,0.00119216,0.00119216,0.00119216
104,382.095,1.09125,0.75775,1.0553,0.74446,0.68858,0.72885,0.43522,1.39801,0.94671,1.3071,0.00118424,0.00118424,0.00118424
105,385.72,1.09457,0.74848,1.0497,0.79991,0.63333,0.7232,0.42975,1.37252,0.97639,1.2611,0.00117632,0.00117632,0.00117632
106,389.295,1.06573,0.73781,1.04528,0.78638,0.647,0.73916,0.42448,1.37636,0.94856,1.2391,0.0011684,0.0011684,0.0011684
107,392.897,1.11743,0.72996,1.07756,0.74566,0.68407,0.72892,0.42782,1.36979,0.98542,1.24755,0.00116048,0.00116048,0.00116048
108,396.581,1.06562,0.73217,1.0485,0.7917,0.65758,0.73659,0.44181,1.37995,0.92869,1.22855,0.00115256,0.00115256,0.00115256
109,400.258,1.08539,0.75409,1.06958,0.78931,0.62424,0.72185,0.43259,1.34575,0.91483,1.22692,0.00114464,0.00114464,0.00114464
110,403.933,1.06377,0.7272,1.05499,0.80585,0.6289,0.71314,0.41827,1.39329,0.97036,1.25289,0.00113672,0.00113672,0.00113672
111,407.69,1.07947,0.86649,1.0689,0.75518,0.64545,0.72834,0.41693,1.42732,0.9766,1.29687,0.0011288,0.0011288,0.0011288
112,411.269,1.10086,0.73291,1.07367,0.74919,0.65758,0.71876,0.40963,1.40559,0.98364,1.2584,0.00112088,0.00112088,0.00112088
113,414.871,1.07703,0.72343,1.0436,0.7631,0.64423,0.71203,0.41663,1.40413,0.98126,1.26867,0.00111296,0.00111296,0.00111296
114,418.424,1.09871,0.72664,1.05852,0.81717,0.64848,0.76285,0.44837,1.3823,0.87859,1.24013,0.00110504,0.00110504,0.00110504
115,422.038,1.05771,0.70921,1.03827,0.80731,0.64848,0.74337,0.44477,1.37764,0.9631,1.24657,0.00109712,0.00109712,0.00109712
116,425.576,1.09269,0.75402,1.05673,0.79422,0.61988,0.71109,0.43161,1.38169,0.95796,1.25273,0.0010892,0.0010892,0.0010892
117,429.162,1.08488,0.73722,1.04043,0.74506,0.65152,0.71347,0.42168,1.41916,0.96438,1.28477,0.00108128,0.00108128,0.00108128
118,432.715,1.078,0.72342,1.04644,0.77526,0.64848,0.72546,0.42737,1.41569,0.95805,1.28951,0.00107336,0.00107336,0.00107336
119,436.43,1.1002,0.75393,1.05041,0.74811,0.65455,0.70105,0.40666,1.43241,1.0128,1.3379,0.00106544,0.00106544,0.00106544
120,440.197,1.15121,0.82023,1.09793,0.77688,0.55455,0.64192,0.36313,1.53405,1.21422,1.33885,0.00105752,0.00105752,0.00105752
121,443.813,1.08253,0.72972,1.04885,0.74529,0.62121,0.68911,0.40667,1.42775,1.01888,1.27553,0.0010496,0.0010496,0.0010496
122,447.46,1.03794,0.75717,1.03823,0.74879,0.6303,0.69649,0.41364,1.42198,1.00967,1.29873,0.00104168,0.00104168,0.00104168
123,451.053,1.09199,0.73035,1.03949,0.77215,0.62642,0.71182,0.4306,1.37843,0.99348,1.28418,0.00103376,0.00103376,0.00103376
124,454.702,1.06229,0.7176,1.04455,0.73567,0.60724,0.67401,0.38471,1.49732,1.04975,1.32241,0.00102584,0.00102584,0.00102584
125,458.264,1.06622,0.70693,1.06004,0.84248,0.6159,0.72327,0.42351,1.39422,0.93597,1.26288,0.00101792,0.00101792,0.00101792
126,461.815,1.0383,0.68682,1.02818,0.8006,0.64242,0.71187,0.43479,1.35783,0.99066,1.22649,0.00101,0.00101,0.00101
